,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
52,273162,395405,374793,359569,337853,333719,328044,327853,319791,312271,312779,313846,314134,308419,297017,295108,301982,305060,308395,312352,312193,308408,291306,312408,341355,355811,355915,361928,447711,419355,390057,375921,364655,359856,365033,366631,363680,376096,388346,401139,407779,414983,430843,444761,452399
53,262101,270337,391407,370998,356015,334184,330299,325009,324863,317198,310210,309822,311132,311728,306406,294882,292870,299909,303150,306619,310516,310447,306646,290088,310622,339724,353691,354498,360819,444902,417310,388325,374079,362580,358854,363620,365255,363243,375357,386528,399278,406516,413939,430035,443862
54,291411,258542,267487,387235,367575,351927,330701,326914,321777,321575,314773,307152,306969,308650,309394,303980,292372,290839,297872,301309,304647,308946,308697,305001,288973,308603,337880,351273,353438,360058,441308,414849,386341,371495,361674,356746,362406,364746,361927,373616,384708,397722,405155,412999,429088
55,309511,287580,255630,264004,382709,363553,347713,326980,323337,318588,318529,311365,304094,304291,305889,306689,300978,289880,288676,295660,298874,302764,307094,306793,303026,287486,306487,335916,349162,351974,358612,439459,411310,383898,369869,359702,354197,360353,363161,360173,372187,383248,396172,403867,411759
56,330013,305472,283921,251973,260755,378254,358564,343242,322830,319021,315123,314817,307927,300793,301163,302720,303459,298067,287230,286202,293042,296489,300466,304848,304603,300919,285558,304138,333842,346529,349921,355487,436997,408087,381801,367316,357126,351510,358798,361201,358149,370446,381658,394776,402345
57,331185,325036,301547,279548,248382,256937,372856,353370,338571,318175,315300,310736,311122,304185,297356,297508,299084,300159,295018,284321,283415,290416,293949,298059,302363,302186,298567,283549,301846,331432,343954,346771,352037,434973,405213,379159,364560,354545,349458,357164,359232,356445,368622,380163,393423
58,327335,326383,319932,296596,274872,244055,252825,366512,348015,333563,313554,310571,306339,307219,300227,293576,293209,295412,296932,291767,281244,280575,287602,291240,295583,300025,299631,296055,281775,299074,329020,341517,343277,348893,433252,401892,376069,361604,352400,347105,355330,356844,354218,366639,378415
59,318000,321366,321206,314146,291465,269972,239805,248253,360607,342385,327928,308462,305695,301994,303222,295836,288963,289154,291787,293392,288276,278462,277497,284527,288443,293031,297466,296884,293507,279767,296317,325809,338837,340056,345950,431074,398005,372728,359120,350116,344537,352851,354248,352170,364674
60,312484,312324,315756,315196,308534,286073,265182,235327,244283,354488,336581,322023,303176,300875,297147,298582,290851,284687,285084,287793,289653,284362,274987,274204,281257,285249,290008,294391,293949,290625,277016,293373,322475,335938,336350,341918,426429,394462,369845,356831,347508,341873,350160,351854,350167
61,310976,305604,305788,309056,308496,301862,280577,259329,230669,239363,347647,329982,316289,297969,295620,291934,293259,286121,280341,280734,283429,285267,280195,271811,270786,277967,281931,286998,291531,290827,287481,273594,290102,318898,332869,332247,336515,424000,390863,367118,353665,344488,339038,347741,349645
62,305890,303346,298365,298502,302003,301241,295217,274167,253558,225331,232756,340183,323120,310101,292294,289728,286092,288121,281229,275590,276067,278619,280465,275778,267821,266845,274192,278218,283501,288115,287095,283868,269765,286543,315132,329551,326878,332833,421409,387286,363730,350518,341371,336360,345319
63,295648,297610,295551,290470,291256,294121,293783,287753,267545,247307,218956,227347,332227,315658,303540,286037,283095,280295,283006,275915,270465,271076,273403,275494,271220,263627,262803,270180,274419,279861,284293,283285,279810,265593,282783,310929,324801,323186,329205,418803,382951,360339,347330,338724,333812
64,281892,287058,289040,287030,282416,282690,286293,285530,280043,260516,240490,213524,221693,323863,307745,296348,278608,276654,274462,277333,270307,264776,265635,268123,270334,266276,259146,258532,266037,270327,275940,280187,279056,275436,261190,278732,305696,321652,319185,325610,415577,378979,356688,344099,335678
