Age,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
58,355486,357592,351765,323143,300611,268758,277300,398486,378403,357599,336305,330117,323341,322006,314370,308274,309154,312492,308994,299016,289062,286558,292567,298238,301298,305971,307430,303720,290349,307241,336447,348908,351865,357232,442247,411939,386096,373354,362162,357142,363886,367178,364023,375842,388841
59,345781,352262,354454,348443,320044,297730,266487,274598,395093,375258,354605,333434,327614,320842,319617,311964,305639,306690,310280,306801,296688,287311,284699,290797,296493,299602,304239,305728,302133,289028,305414,334679,346564,349153,354375,441044,409779,383406,371823,360709,355428,362635,366038,363106,375037
60,348010,342306,348988,350904,344904,316933,294930,263721,272146,391556,371287,351005,330559,324614,318126,316897,309269,303049,304196,307696,304425,294760,285582,283040,289077,294692,297941,302346,303959,300895,287717,303747,332806,344783,346084,351310,439131,407327,381352,369744,358822,353922,361276,364916,362126
61,348993,343821,339051,345201,347359,341430,313659,291675,261014,269148,388185,367191,347361,327595,321651,315218,313870,306327,300413,301334,304990,301964,292650,283934,281294,287296,292657,296324,300591,302433,298822,285504,302140,330523,342210,343075,348035,437643,404557,379108,367560,357263,352401,360027,363721
62,347210,344461,339630,335106,341463,343478,337418,310074,288268,258190,265715,383304,362829,343669,324259,318319,311934,310616,303242,297365,298348,301968,299097,290148,281734,279098,285011,290413,294257,298719,299836,296536,283212,300061,327531,339904,339863,345373,435951,401600,376850,365915,355692,351197,358762
63,340976,342598,339870,334945,330936,337180,339084,333283,306289,284256,254118,262123,378319,358431,339584,320608,314387,308435,307214,299889,294156,295406,298818,296185,287502,279539,276823,282818,288179,292435,296174,297471,294152,280516,297162,324585,337348,337232,342431,434049,398568,374957,364021,354244,349821
64,330021,335818,337339,334871,329955,326128,332396,334594,328414,302275,279685,250596,258305,373173,353642,335324,316405,310482,304793,303329,296354,290649,292201,295344,293235,284888,277236,274648,280608,286054,289981,293604,295052,291333,277047,294434,321415,335239,334336,339280,432033,396151,372818,362436,352668
65,322538,324507,330101,331738,329365,324242,321085,327405,329174,323671,297432,275261,246716,254663,367752,348521,329953,312095,306397,300555,299189,292600,286749,288700,291767,289794,281669,274484,271933,278366,283306,287079,290901,292026,288338,272705,291389,318991,333027,331257,336197,429082,393561,370561,360410
66,318706,316937,318401,324070,325640,323129,318678,316026,321902,323972,317383,292660,270894,243094,250594,361772,344322,324951,307764,301767,296361,294947,288452,282641,284817,287936,286105,278457,271675,269392,275401,280183,283973,287792,288850,284354,269342,288937,316098,330542,328008,333527,425759,390849,367768
67,306463,312562,310892,312154,317711,319161,316999,312594,310321,316310,317474,311539,287366,266335,238969,246191,357227,338404,319638,302818,297087,291629,290354,284042,278417,280699,283804,282251,274917,268637,266132,272148,276936,280556,284477,284384,280462,266447,286216,312909,328059,325175,330750,422567,387904
